Time,Composite_Score
2025-07-02 00:00:25.832,0.0
2025-07-02 00:00:30.832,0.0
2025-07-02 00:00:35.832,0.0
2025-07-02 00:00:40.832,0.0
2025-07-02 00:00:45.832,0.0
2025-07-02 00:00:50.832,0.0
2025-07-02 00:00:55.832,0.0
2025-07-02 00:01:00.832,0.0
2025-07-02 00:01:05.832,0.0
2025-07-02 00:01:10.832,0.0
2025-07-02 00:01:15.832,0.0
2025-07-02 00:01:20.832,0.0
2025-07-02 00:01:25.832,0.0
2025-07-02 00:01:30.832,0.0
2025-07-02 00:01:35.832,0.0
2025-07-02 00:01:40.832,0.0
2025-07-02 00:01:45.832,0.0
2025-07-02 00:01:50.833,0.0
2025-07-02 00:01:55.833,0.0
2025-07-02 00:02:00.833,0.0
2025-07-02 00:02:05.833,2.443670983903084
2025-07-02 00:02:10.833,3.8368593990400353
2025-07-02 00:02:15.833,3.1595138820671123
2025-07-02 00:02:20.833,0.0
2025-07-02 00:02:25.833,0.0
2025-07-02 00:02:30.833,0.0
2025-07-02 00:02:35.833,0.0
2025-07-02 00:02:40.833,0.0
2025-07-02 00:02:45.833,0.0
2025-07-02 00:02:50.833,0.0
2025-07-02 00:02:55.833,0.0
2025-07-02 00:03:00.833,0.0
2025-07-02 00:03:05.833,0.0
2025-07-02 00:03:10.833,0.0
2025-07-02 00:03:15.833,0.0
2025-07-02 00:03:20.833,0.0
2025-07-02 00:03:25.833,0.0
2025-07-02 00:03:30.833,0.0
2025-07-02 00:03:35.833,0.0
2025-07-02 00:03:40.833,0.0
2025-07-02 00:03:45.833,0.0
2025-07-02 00:03:50.833,0.0
2025-07-02 00:03:55.834,0.0
2025-07-02 00:04:00.834,0.0
2025-07-02 00:04:05.834,0.0
2025-07-02 00:04:10.834,0.0
2025-07-02 00:04:15.834,0.0
2025-07-02 00:04:20.834,0.0
2025-07-02 00:04:25.834,0.0
2025-07-02 00:04:30.834,0.0
2025-07-02 00:04:35.834,0.0
2025-07-02 00:04:40.834,0.0
2025-07-02 00:04:45.834,0.0
2025-07-02 00:04:50.834,0.0
2025-07-02 00:04:55.834,0.0
2025-07-02 00:05:00.834,0.0
2025-07-02 00:05:05.834,0.0
2025-07-02 00:05:10.834,0.0
2025-07-02 00:05:15.834,0.0
2025-07-02 00:05:20.834,0.0
2025-07-02 00:05:25.834,0.0
2025-07-02 00:05:30.834,0.0
2025-07-02 00:05:35.834,0.0
2025-07-02 00:05:40.835,1.028401675659262
2025-07-02 00:05:45.835,0.0
2025-07-02 00:05:50.835,0.0
2025-07-02 00:05:55.835,0.0
2025-07-02 00:06:00.835,0.0
2025-07-02 00:06:05.835,0.0
2025-07-02 00:06:10.835,0.0
2025-07-02 00:06:15.835,2.5598807770981784
2025-07-02 00:06:20.835,3.792870700403715
2025-07-02 00:06:25.835,3.327966418337412
2025-07-02 00:06:30.835,0.0
2025-07-02 00:06:35.835,0.0
2025-07-02 00:06:40.835,0.0
2025-07-02 00:06:45.835,0.0
2025-07-02 00:06:50.835,0.0
2025-07-02 00:06:55.835,0.0
2025-07-02 00:07:00.835,0.0
2025-07-02 00:07:05.835,0.0
2025-07-02 00:07:10.835,0.0
2025-07-02 00:07:15.835,0.0
2025-07-02 00:07:20.835,0.0
2025-07-02 00:07:25.835,0.0
2025-07-02 00:07:30.835,0.0
2025-07-02 00:07:35.835,0.0
2025-07-02 00:07:40.836,0.0
2025-07-02 00:07:45.836,0.0
2025-07-02 00:07:50.836,0.0
2025-07-02 00:07:55.836,0.0
2025-07-02 00:08:00.836,0.0
2025-07-02 00:08:05.836,0.0
2025-07-02 00:08:10.836,0.0
2025-07-02 00:08:15.836,0.0
2025-07-02 00:08:20.836,0.0
2025-07-02 00:08:25.836,0.0
2025-07-02 00:08:30.836,0.0
2025-07-02 00:08:35.836,0.0
2025-07-02 00:08:40.836,0.0
2025-07-02 00:08:45.836,0.0
2025-07-02 00:08:50.836,0.0
2025-07-02 00:08:55.836,0.0
2025-07-02 00:09:00.836,0.0
2025-07-02 00:09:05.836,0.0
2025-07-02 00:09:10.836,1.1085300820167532
2025-07-02 00:09:15.836,0.0
2025-07-02 00:09:20.836,0.0
2025-07-02 00:09:25.836,0.0
2025-07-02 00:09:30.836,0.0
2025-07-02 00:09:35.837,0.0
2025-07-02 00:09:40.837,0.0
2025-07-02 00:09:45.837,0.0
2025-07-02 00:09:50.837,0.0
2025-07-02 00:09:55.837,0.0
2025-07-02 00:10:00.837,0.0
2025-07-02 00:10:05.837,0.0
2025-07-02 00:10:10.837,0.0
2025-07-02 00:10:15.837,0.0
2025-07-02 00:10:20.837,0.0
2025-07-02 00:10:25.837,2.5436532159903478
2025-07-02 00:10:30.837,3.9025613604011
2025-07-02 00:10:35.837,3.0412807379362627
2025-07-02 00:10:40.837,0.0
2025-07-02 00:10:45.837,0.0
2025-07-02 00:10:50.837,0.0
2025-07-02 00:10:55.837,0.0
2025-07-02 00:11:00.837,0.0
2025-07-02 00:11:05.837,0.0
2025-07-02 00:11:10.837,0.0
2025-07-02 00:11:15.837,0.0
2025-07-02 00:11:20.837,0.0
2025-07-02 00:11:25.838,0.0
2025-07-02 00:11:30.838,0.0
2025-07-02 00:11:35.838,0.0
2025-07-02 00:11:40.838,0.0
