Time,integrated_flux_mod,integrated_flux_s9_mod,integrated_flux_s10_mod,integrated_flux_s11_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-01 00:00:30.053,431119.8639921219,,4139305.1017558826,,1275743.047506412,203844.4051766969,-100413.66869132745
2025-07-01 00:00:35.053,,,,,1275743.0377266812,203845.81563794165,-100413.58691540977
2025-07-01 00:00:40.053,,,,,1275743.0279471343,203847.2260975662,-100413.5051388974
2025-07-01 00:00:45.053,74292.4675593283,,1954781.1075809721,,1275743.0181674187,203848.63658373995,-100413.42336017871
2025-07-01 00:00:50.053,,,1958109.2876983033,,1275743.0083883149,203850.04701185273,-100413.3415841551
2025-07-01 00:00:55.053,,,3809031.558251847,,1275742.9986087023,203851.45752294367,-100413.25980271038
2025-07-01 00:01:00.053,230919.6427987084,1244181.41186949,,,1275742.9888294633,203852.86800424464,-100413.17802231823
2025-07-01 00:01:05.053,379703.8585112485,1670677.1368233627,2104779.9604056976,1175752.447884377,1275742.9790507453,203854.27842739414,-100413.0962446775
2025-07-01 00:01:10.053,,500941.20465708215,,,1275742.9692716838,203855.68890541414,-100413.014463139
2025-07-01 00:01:15.053,25711.96673793625,,3732718.4643123867,1801361.191369807,1275742.9594929772,203857.09935354785,-100412.93268267188
2025-07-01 00:01:20.053,,1843640.8848164058,2476076.866207527,,1275742.9497140604,203858.5098564202,-100412.85089841706
2025-07-01 00:01:25.053,,,3809837.4128468335,,1275742.9399356456,203859.92030127338,-100412.76911684411
2025-07-01 00:01:30.053,,,2737088.832059843,1312329.2719112888,1275742.9301573227,203861.33074446858,-100412.68733472098
2025-07-01 00:01:35.053,,1179386.9916687508,1557188.138377989,,1275742.920378908,203862.74121427222,-100412.60555038793
2025-07-01 00:01:40.053,513754.9261090654,,5547979.113586907,,1275742.910601029,203864.15162598182,-100412.52376876032
2025-07-01 00:01:45.053,919598.6645192943,,9053808.436012015,,1275742.9008229056,203865.56209248616,-100412.44198331452
2025-07-01 00:01:50.053,,,,,1275742.891045147,203866.97252910835,-100412.36019894009
2025-07-01 00:01:55.053,,1180238.7933288235,,1791761.154397807,1275742.8812674289,203868.38296413328,-100412.27841400547
2025-07-01 00:02:00.054,469882.88204391266,1848434.6649024528,2320993.137940006,1302629.8153551193,1275742.8714895302,203869.7934539244,-100412.19662524917
2025-07-01 00:02:05.054,1915319.142310305,3236351.272760902,11955960.073055156,3275923.251932906,1275742.8617121293,203871.20388564214,-100412.11483921361
2025-07-01 00:02:10.054,8764395.982466802,2561521.8454106497,40162363.93915895,19500833.349756904,1275742.8519348407,203872.6143157138,-100412.03305258689
2025-07-01 00:02:15.054,55607612.93722879,30984137.936727583,266684242.740714,100089854.29759741,1275742.84215766,203874.02474417016,-100411.95126538927
2025-07-01 00:02:20.054,168676603.7584413,100701998.25817959,832281624.8271261,290608872.5563627,1275742.8323804243,203875.43519914857,-100411.86947599909
2025-07-01 00:02:25.054,256582411.96315208,130115068.99529578,1464942928.7523894,290927996.2002089,1275742.8226035794,203876.84562429856,-100411.78768773295
2025-07-01 00:02:30.054,249750915.01728287,112880395.7496923,1445540095.8167167,277279938.2912088,1275742.8128265732,203878.25607607389,-100411.70589722146
2025-07-01 00:02:35.054,160262786.3690207,87479968.66040361,951123012.1459074,162066345.88389632,1275742.8030497977,203879.6665261204,-100411.62410615082
2025-07-01 00:02:40.054,99740470.01468587,78258478.31671849,558303800.4231669,104909592.47690058,1275742.7932732624,203881.07694635133,-100411.54231617937
2025-07-01 00:02:45.054,53836760.42104627,70750348.83550501,274909390.98610914,51241510.45834265,1275742.783496874,203882.48736494573,-100411.46052561485
2025-07-01 00:02:50.054,33266527.662815962,29204848.93912356,181123753.22644472,29818977.24955232,1275742.7737203827,203883.89781012418,-100411.3787328612
2025-07-01 00:02:55.054,16986251.219824303,15271259.727281595,103815595.09918557,4429487.024382814,1275742.763944026,203885.30825366062,-100411.29693954176
2025-07-01 00:03:00.054,9872504.52460772,8483264.894169984,66074370.32888754,4868908.531524108,1275742.7541681055,203886.7186673106,-100411.21514734958
2025-07-01 00:03:05.054,8575413.683368733,7032677.7509238245,62286937.90728331,,1275742.7443921599,203888.12907935897,-100411.13335452089
2025-07-01 00:03:10.054,6740229.122726273,8035950.297961784,39355508.16705451,3534783.3070660955,1275742.734616198,203889.53951797416,-100411.05155952473
2025-07-01 00:03:15.054,6956857.587571513,2444320.7021714873,50267448.647699796,,1275742.724840831,203890.94989850395,-100410.96976724401
2025-07-01 00:03:20.054,6403556.891580549,4973405.85986141,47734408.227491304,,1275742.7150650993,203892.36033382596,-100410.88797112514
2025-07-01 00:03:25.054,1455653.2311945874,3903293.850819336,13117692.14687424,254504.74152067077,1275742.7052893203,203893.7707956954,-100410.80617280665
2025-07-01 00:03:30.054,671121.6764887235,,9951535.79099468,560311.8182348865,1275742.6955145274,203895.18114312226,-100410.72438048967
2025-07-01 00:03:35.054,247859.38625725382,929976.8455135324,5856877.5729283355,546284.1148848336,1275742.685739013,203896.59160170073,-100410.64258104673
2025-07-01 00:03:40.054,,910841.3440355303,1215114.2542334923,,1275742.6759640437,203898.00200226376,-100410.56078432937
2025-07-01 00:03:45.055,,,,,1275742.6661889283,203899.4124294121,-100410.47898539237
2025-07-01 00:03:50.055,71556.61244297342,,6031722.432461204,,1275742.6564142408,203900.82282668498,-100410.3971875094
2025-07-01 00:03:55.055,,,2950842.976017518,,1275742.6466396304,203902.2332222985,-100410.31538911036
2025-07-01 00:04:00.055,,,1460673.370313333,,1275742.636864817,203903.64367267335,-100410.23358685017
2025-07-01 00:04:05.055,,,4360248.43537477,,1275742.627090884,203905.0540086106,-100410.15179060446
2025-07-01 00:04:10.055,,,1853835.1681694256,794601.9934033179,1275742.6173162868,203906.46445571355,-100410.06998726277
2025-07-01 00:04:15.055,,,1328640.1117080105,,1275742.607541905,203907.87487299694,-100409.98818492127
2025-07-01 00:04:20.055,,282.87672528358206,,,1275742.5977681908,203909.28523220163,-100409.90638535132
2025-07-01 00:04:25.055,,,2765797.5431452435,,1275742.5879942134,203910.69564618682,-100409.82458193769
2025-07-01 00:04:30.055,145191.01746332913,,5695080.492219997,,1275742.5782205365,203912.10603032203,-100409.74277959898
2025-07-01 00:04:35.055,,870353.1046998731,1134626.75722369,629193.0098034362,1275742.5684467007,203913.51644103572,-100409.66097504762
2025-07-01 00:04:40.055,,,4132786.805964511,,1275742.5586731196,203914.92685010706,-100409.57916995726
2025-07-01 00:04:45.055,,,,,1275742.54889983,203916.33722928094,-100409.49736594199
2025-07-01 00:04:50.055,459083.8933014603,1515277.4032623435,6991040.0048741875,,1275742.5391265769,203917.7476068737,-100409.41556130687
2025-07-01 00:04:55.055,,,3983782.168424043,,1275742.5293535807,203919.1579828047,-100409.33375619241
2025-07-01 00:05:00.055,226094.06677516561,,2842051.477188795,1364490.666659079,1275742.5195804634,203920.56838529542,-100409.25194882904
2025-07-01 00:05:05.055,173553.82272288518,,3907665.255244428,,1275742.50980744,203921.97878619158,-100409.17014090379
2025-07-01 00:05:10.055,,,1951200.1123672437,,1275742.5000347474,203923.3891571746,-100409.0883340839
2025-07-01 00:05:15.055,,,,,1275742.490261983,203924.7995544418,-100409.00652503048
2025-07-01 00:05:20.055,55044.189194547595,,3875414.866687084,,1275742.4804895807,203926.20992223558,-100408.92471706553
2025-07-01 00:05:25.055,90035.68613652803,,3125994.1445600046,,1275742.4707173507,203927.62028847542,-100408.84290855378
2025-07-01 00:05:30.055,,1228924.3722609815,1662207.504242519,,1275742.4609451464,203929.0306530076,-100408.76109947468
2025-07-01 00:05:35.055,67448.24707239028,1220290.692810033,1540014.103342865,739131.0144891248,1275742.4511727665,203930.4410720841,-100408.67928657198
2025-07-01 00:05:40.055,1239877.332912955,1073860.8854735,10921121.238360249,512828.36391858186,1275742.4414008183,203931.85143277602,-100408.59747633763
2025-07-01 00:05:45.055,285039.588586626,,1776219.1015108621,,1275742.4316291083,203933.26179086455,-100408.51566560293
2025-07-01 00:05:50.056,,,,,1275742.4218571999,203934.6721761737,-100408.43385263032
2025-07-01 00:05:55.056,604566.0447833337,,7348308.167536065,,1275742.4120858968,203936.0825037231,-100408.35204238171
2025-07-01 00:06:00.056,43597.08297244122,1547082.6096965293,2008879.2403680487,,1275742.402314326,203937.49288639368,-100408.27022827929
2025-07-01 00:06:05.056,26604.261636613635,,2574508.4024686227,1244210.2361662884,1275742.3925426612,203938.9032958743,-100408.18841198302
2025-07-01 00:06:10.056,,,1535889.4200682268,683417.3914758496,1275742.3827714995,203940.31364734736,-100408.10659840051
2025-07-01 00:06:15.056,2059328.7908508182,3306088.206961906,9596230.77314326,3408341.1989842257,1275742.3730005263,203941.72399680765,-100408.02478429273
2025-07-01 00:06:20.056,12284311.019213067,21830892.38541268,41570887.32193774,20268825.279957935,1275742.363229696,203943.13434481315,-100407.94296959386
2025-07-01 00:06:25.056,55561945.459873855,36920791.76635757,267017655.75745854,92414795.38996361,1275742.3534587747,203944.5447194058,-100407.86115268525
2025-07-01 00:06:30.056,179298147.75684956,121043188.87823758,932991699.7250195,283468260.6609939,1275742.3436883097,203945.95503594537,-100407.77933850628
2025-07-01 00:06:35.056,232884178.10829344,112528569.63021041,1312454574.7401745,298030563.18047535,1275742.333917591,203947.3654072834,-100407.69752047682
2025-07-01 00:06:40.056,218616987.92183048,126174830.8319867,1250897161.3336527,244217748.83090028,1275742.3241468857,203948.77580514876,-100407.61570025748
2025-07-01 00:06:45.056,144940477.07350162,87610596.77291957,872368648.774063,117822904.19333461,1275742.3143768373,203950.18611673763,-100407.53388441366
2025-07-01 00:06:50.056,89387300.94127789,61390189.040973164,509473346.08980286,92553158.48774661,1275742.3046065588,203951.59648313638,-100407.45206467144
2025-07-01 00:06:55.056,52025778.59083235,46227484.2265641,256417654.65613863,67529051.79250151,1275742.2948365242,203953.00681969395,-100407.3702460539
2025-07-01 00:07:00.056,33641423.15185486,38608986.745012805,183272004.73926026,18771795.7663884,1275742.2850666954,203954.4171546018,-100407.28842685343
2025-07-01 00:07:05.056,15024646.574847471,14456660.862099316,88437751.72726066,12115288.23914379,1275742.2752968261,203955.82751607406,-100407.20660547371
2025-07-01 00:07:10.056,9814817.109503813,13663242.93962153,61540258.61122297,1805397.1766468433,1275742.2655270284,203957.23787590265,-100407.12478351832
2025-07-01 00:07:15.056,7242918.078394728,3178249.646103205,45277455.81032183,1666749.832027852,1275742.255757591,203958.6482058904,-100407.0429626478
2025-07-01 00:07:20.056,7874370.133693275,8399620.098322658,51338293.30573396,1424876.0436164679,1275742.2459882472,203960.05853423144,-100406.9611412274
2025-07-01 00:07:25.056,7346190.633733231,10237292.596831108,52620382.05134325,,1275742.236218844,203961.46888913962,-100406.87931759522
2025-07-01 00:07:30.057,4062281.962496108,2415033.045730349,33180661.158257283,,1275742.2264496335,203962.8792424042,-100406.79749341425
2025-07-01 00:07:35.056,3247657.105928169,5511306.412546055,20003197.119577926,,1275742.2166808175,203964.28953761753,-100406.7156718726
2025-07-01 00:07:40.057,403075.99090327614,2352386.9059579098,5041501.790439657,,1275742.2069116933,203965.6999157981,-100406.63384496036
