Time,integrated_flux_mod,integrated_flux_s9_mod,integrated_flux_s10_mod,integrated_flux_s11_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-02 00:00:25.832,388856.4778761978,1322320.0418005395,1788531.7812090428,,1275600.963395247,227964.0485487923,-98916.80347312224
2025-07-02 00:00:30.832,,1335644.1436475003,,,1275600.957178348,227965.4294599011,-98916.71199178242
2025-07-02 00:00:35.832,119922.70869755547,,4070599.880842925,,1275600.9509615123,227966.81042444397,-98916.62050622638
2025-07-02 00:00:40.832,209941.46862726205,,4019692.205468201,,1275600.9447452156,227968.19133198593,-98916.52902377112
2025-07-02 00:00:45.832,311427.31472644804,1247035.309252675,1615122.129849606,,1275600.938529136,227969.5722377667,-98916.43754073279
2025-07-02 00:00:50.832,54578.36805231229,,3931526.2808523024,866742.3451811243,1275600.9323132937,227970.95316939446,-98916.34605535347
2025-07-02 00:00:55.832,,,1966058.5311626343,,1275600.9260979341,227972.33404399507,-98916.25457301718
2025-07-02 00:01:00.832,,,1947442.2276492056,,1275600.9198826195,227973.71497208808,-98916.16308647994
2025-07-02 00:01:05.832,,,3901383.519877588,,1275600.9136675657,227975.0958983859,-98916.07159939717
2025-07-02 00:01:10.832,779532.3122478084,,9650344.57601736,,1275600.9074530452,227976.47679524779,-98915.98011359724
2025-07-02 00:01:15.832,,,,,1275600.9012385611,227977.8577177085,-98915.88862536487
2025-07-02 00:01:20.832,537767.8050853008,,5139337.962723304,1100409.0805846693,1275600.8950244947,227979.23861115833,-98915.79713839898
2025-07-02 00:01:25.832,570877.9919729586,1960518.5828632202,5811839.716611677,,1275600.8888107091,227980.6195028927,-98915.70565087377
2025-07-02 00:01:30.832,1056617.4586247406,,9283923.438790733,,1275600.8825971745,227982.00039277686,-98915.61416280293
2025-07-02 00:01:35.832,,1737.7679303627426,,,1275600.8763837558,227983.38133581023,-98915.52267051046
2025-07-02 00:01:40.832,537521.3810292255,,6828455.666508054,916793.8317258549,1275600.8701707216,227984.76224910468,-98915.43117949279
2025-07-02 00:01:45.832,131028.47052942298,1172616.3360753984,1504567.8985256597,811511.432985621,1275600.8639582272,227986.14310457837,-98915.33969156176
2025-07-02 00:01:50.833,1022156.4696063675,,6095843.952729016,527060.3771945206,1275600.85774573,227987.52401411347,-98915.24819942378
2025-07-02 00:01:55.833,2694869.689165725,,19572802.88941758,2980212.1723925187,1275600.8515336702,227988.90489462443,-98915.15670852485
2025-07-02 00:02:00.833,19893901.314945202,,108399889.05278648,26202845.280035354,1275600.845321901,227990.28577367958,-98915.06521707529
2025-07-02 00:02:05.833,102820558.08506529,26142024.96823332,631778000.3770702,100367034.84998648,1275600.8391101374,227991.66670639708,-98914.97372143553
2025-07-02 00:02:10.833,313437676.63999367,106754162.61118463,1750964953.965807,366721782.44994265,1275600.8328989204,227993.0475821474,-98914.88222886244
2025-07-02 00:02:15.833,317030896.41264135,125165726.18705675,1634979306.2494187,459190631.4772266,1275600.8266879772,227994.42845574114,-98914.79073571949
2025-07-02 00:02:20.833,182097185.64316252,45591787.42662018,824805736.1310544,380267284.7841989,1275600.820477339,227995.80932777407,-98914.69924202375
2025-07-02 00:02:25.833,124855022.89656773,11334583.801339598,498518060.5245413,318159308.06152934,1275600.8142668207,227997.19022566354,-98914.60774596053
2025-07-02 00:02:30.833,10550523.58807888,2588436.614646905,47636553.08033352,21995926.51125121,1275600.8080568153,227998.57109414705,-98914.51625116135
2025-07-02 00:02:35.833,898661.7362490642,1655699.2902093919,5901098.418463865,542487.4378074993,1275600.801846916,227999.95196088907,-98914.42475573876
2025-07-02 00:02:40.833,1702894.8468217817,5081942.8970183255,10853007.760245124,529144.0924947832,1275600.795637148,228001.33288108645,-98914.33325613732
2025-07-02 00:02:45.833,8943193.319116237,309050.1798669633,70251290.3980547,1929176.895206107,1275600.7894281414,228002.71371658717,-98914.2417615198
2025-07-02 00:02:50.833,18013467.911714092,3996444.8233054285,136484037.85146704,2312992.7904100157,1275600.7832190343,228004.09460562604,-98914.15026261011
2025-07-02 00:02:55.833,8548695.237841683,,65127327.355852805,1078297.356450573,1275600.7770104466,228005.4754652308,-98914.05876501062
2025-07-02 00:03:00.833,1377674.5116692744,,10816809.675791414,686649.614848781,1275600.7708019041,228006.85635070197,-98913.96726499428
2025-07-02 00:03:05.833,1449656.1751761693,,14350686.879427476,,1275600.7645938392,228008.2372067619,-98913.8757662439
2025-07-02 00:03:10.833,330275.0524614251,,4598122.041475533,,1275600.7583858827,228009.61808865223,-98913.78426511888
2025-07-02 00:03:15.833,,,,,1275600.7521782678,228010.99896878048,-98913.6927634512
2025-07-02 00:03:20.833,539335.6812726761,,6156057.935892101,,1275600.7459711186,228012.37979191757,-98913.60126479442
2025-07-02 00:03:25.833,261909.49803198967,,4601821.883975524,,1275600.7397641495,228013.7606684791,-98913.50976206228
2025-07-02 00:03:30.833,555273.02404804,21914.606516528747,4383052.512407436,,1275600.7335572597,228015.14154330798,-98913.41825862153
