Time,integrated_flux_mod,integrated_flux_s15_mod,integrated_flux_s16_mod,integrated_flux_s17_mod,integrated_flux_s18_mod,integrated_flux_s19_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-01 00:00:30.053,,1083333.3333333335,116666.66666666698,,,3466666.666666666,1275743.047506412,203844.4051766969,-100413.66869132745
2025-07-01 00:00:35.053,,,,,1200000.0,600000.0,1275743.0377266812,203845.81563794165,-100413.58691540977
2025-07-01 00:00:40.053,281249.99999999814,1483333.3333333335,,5133333.333333332,9466666.666666668,,1275743.0279471343,203847.2260975662,-100413.5051388974
2025-07-01 00:00:45.053,247916.66666666698,1550000.0,,19266666.666666668,,,1275743.0181674187,203848.63658373995,-100413.42336017871
2025-07-01 00:00:50.053,,1350000.0,,3933333.333333332,,,1275743.0083883149,203850.04701185273,-100413.3415841551
2025-07-01 00:00:55.053,,4616666.666666666,,7133333.333333332,8000000.0,1133333.333333334,1275742.9986087023,203851.45752294367,-100413.25980271038
2025-07-01 00:01:00.053,,2950000.0000000005,716666.666666667,733333.3333333321,4800000.0,,1275742.9888294633,203852.86800424464,-100413.17802231823
2025-07-01 00:01:05.053,,3083333.3333333335,,1400000.0,,,1275742.9790507453,203854.27842739414,-100413.0962446775
2025-07-01 00:01:10.053,18750.00000000093,,,10466666.666666664,4666666.666666668,1133333.333333334,1275742.9692716838,203855.68890541414,-100413.014463139
2025-07-01 00:01:15.053,,1350000.0,,,,1200000.0,1275742.9594929772,203857.09935354785,-100412.93268267188
2025-07-01 00:01:20.053,,5016666.666666666,,,,3533333.333333334,1275742.9497140604,203858.5098564202,-100412.85089841706
2025-07-01 00:01:25.053,102083.33333333116,,,5266666.666666664,6266666.666666668,,1275742.9399356456,203859.92030127338,-100412.76911684411
2025-07-01 00:01:30.053,,2616666.6666666665,1650000.0,,,,1275742.9301573227,203861.33074446858,-100412.68733472098
2025-07-01 00:01:35.053,,1283333.3333333335,2250000.0,,,1066666.666666666,1275742.920378908,203862.74121427222,-100412.60555038793
2025-07-01 00:01:40.053,,1283333.3333333335,3783333.333333334,,,,1275742.910601029,203864.15162598182,-100412.52376876032
2025-07-01 00:01:45.053,1560416.666666666,,,9000000.0,30666666.666666668,1733333.333333334,1275742.9008229056,203865.56209248616,-100412.44198331452
2025-07-01 00:01:50.053,,1216666.666666667,,5933333.333333332,,,1275742.891045147,203866.97252910835,-100412.36019894009
2025-07-01 00:01:55.053,460416.66666666605,,3250000.0,,2933333.333333336,6666666.666666666,1275742.8812674289,203868.38296413328,-100412.27841400547
2025-07-01 00:02:00.054,,2950000.0000000005,716666.666666667,7133333.333333332,,6000000.0,1275742.8714895302,203869.7934539244,-100412.19662524917
2025-07-01 00:02:05.054,1985416.666666666,6150000.0,,7000000.0,14133333.333333332,1066666.666666666,1275742.8617121293,203871.20388564214,-100412.11483921361
2025-07-01 00:02:10.054,7427083.333333334,4750000.0,9316666.666666668,28066666.666666668,42266666.66666667,33133333.333333336,1275742.8519348407,203872.6143157138,-100412.03305258689
2025-07-01 00:02:15.054,27760416.666666657,11616666.666666668,31450000.0,150200000.0,157866666.66666666,67400000.0,1275742.84215766,203874.02474417016,-100411.95126538927
2025-07-01 00:02:20.054,62064583.33333333,28683333.333333332,104116666.66666666,287266666.6666666,378266666.6666667,137066666.66666666,1275742.8323804243,203875.43519914857,-100411.86947599909
2025-07-01 00:02:25.054,96527083.33333333,56016666.66666667,247583333.33333334,642466666.6666667,377200000.0,165266666.66666666,1275742.8226035794,203876.84562429856,-100411.78768773295
2025-07-01 00:02:30.054,131793750.0,58150000.0,372850000.0,866600000.0,543866666.6666666,181533333.33333334,1275742.8128265732,203878.25607607389,-100411.70589722146
2025-07-01 00:02:35.054,130489583.33333331,43016666.66666667,362050000.0,810733333.3333334,636800000.0,195533333.33333334,1275742.8030497977,203879.6665261204,-100411.62410615082
2025-07-01 00:02:40.054,94506250.00000001,35550000.0,192916666.6666667,535933333.3333333,540933333.3333333,167400000.0,1275742.7932732624,203881.07694635133,-100411.54231617937
2025-07-01 00:02:45.054,59785416.66666667,16483333.333333334,66250000.00000001,301933333.3333333,387866666.6666667,168133333.33333334,1275742.783496874,203882.48736494573,-100411.46052561485
2025-07-01 00:02:50.054,33302083.333333343,,36383333.333333336,124999999.99999999,266133333.33333334,96466666.66666667,1275742.7737203827,203883.89781012418,-100411.3787328612
2025-07-01 00:02:55.054,15052083.33333334,2950000.0000000005,16983333.333333336,46200000.0,128266666.66666667,41800000.0,1275742.763944026,203885.30825366062,-100411.29693954176
2025-07-01 00:03:00.054,10889583.33333334,3016666.6666666665,8983333.333333334,40333333.33333333,93733333.33333334,14400000.0,1275742.7541681055,203886.7186673106,-100411.21514734958
2025-07-01 00:03:05.054,12914583.33333334,4750000.0,20916666.666666664,74600000.0,88666666.66666667,23066666.666666668,1275742.7443921599,203888.12907935897,-100411.13335452089
2025-07-01 00:03:10.054,12868750.0,6150000.0,5516666.666666668,58600000.0,117333333.33333333,31733333.333333336,1275742.734616198,203889.53951797416,-100411.05155952473
2025-07-01 00:03:15.054,10785416.66666666,,9850000.000000002,53266666.66666666,88533333.33333334,29066666.666666664,1275742.724840831,203890.94989850395,-100410.96976724401
2025-07-01 00:03:20.054,7481249.999999998,4483333.333333334,3716666.666666668,25799999.999999996,64800000.0,24866666.666666668,1275742.7150650993,203892.36033382596,-100410.88797112514
2025-07-01 00:03:25.054,4897916.666666666,7483333.333333334,5116666.666666668,15533333.333333332,38266666.66666667,14933333.333333332,1275742.7052893203,203893.7707956954,-100410.80617280665
2025-07-01 00:03:30.054,2593750.000000002,,7916666.666666668,30066666.666666668,21466666.666666668,3666666.666666666,1275742.6955145274,203895.18114312226,-100410.72438048967
2025-07-01 00:03:35.054,,1016666.666666667,7183333.333333334,,1866666.666666668,,1275742.685739013,203896.59160170073,-100410.64258104673
2025-07-01 00:03:40.054,52083.33333333302,1550000.0,1250000.0,2066666.6666666642,3066666.666666668,5200000.0,1275742.6759640437,203898.00200226376,-100410.56078432937
2025-07-01 00:03:45.055,,,2783333.333333334,,6000000.0,1600000.0,1275742.6661889283,203899.4124294121,-100410.47898539237
2025-07-01 00:03:50.055,314583.33333333116,,450000.00000000093,3133333.333333332,10133333.333333332,,1275742.6564142408,203900.82282668498,-100410.3971875094
2025-07-01 00:03:55.055,,1150000.0,1850000.0,18199999.999999996,,666666.666666666,1275742.6466396304,203902.2332222985,-100410.31538911036
2025-07-01 00:04:00.055,,,783333.333333334,,5066666.666666668,1266666.666666666,1275742.636864817,203903.64367267335,-100410.23358685017
2025-07-01 00:04:05.055,,,,3400000.0,4533333.333333336,2333333.333333334,1275742.627090884,203905.0540086106,-100410.15179060446
2025-07-01 00:04:10.055,981250.0000000009,5416666.666666666,1783333.333333334,,12266666.666666668,2400000.0,1275742.6173162868,203906.46445571355,-100410.06998726277
2025-07-01 00:04:15.055,,,,10466666.666666664,,,1275742.607541905,203907.87487299694,-100409.98818492127
2025-07-01 00:04:20.055,,1683333.3333333335,1650000.0,,,4066666.666666666,1275742.5977681908,203909.28523220163,-100409.90638535132
2025-07-01 00:04:25.055,,1483333.3333333335,,,2666666.666666668,1600000.0,1275742.5879942134,203910.69564618682,-100409.82458193769
2025-07-01 00:04:30.055,,4416666.666666666,,,,2466666.666666666,1275742.5782205365,203912.10603032203,-100409.74277959898
2025-07-01 00:04:35.055,60416.666666665114,7016666.666666668,,2866666.666666664,,333333.33333333395,1275742.5684467007,203913.51644103572,-100409.66097504762
2025-07-01 00:04:40.055,,,,,,,1275742.5586731196,203914.92685010706,-100409.57916995726
2025-07-01 00:04:45.055,,2750000.0000000005,,,9466666.666666668,,1275742.54889983,203916.33722928094,-100409.49736594199
2025-07-01 00:04:50.055,114583.33333333395,,,7133333.333333332,11200000.000000004,1133333.333333334,1275742.5391265769,203917.7476068737,-100409.41556130687
2025-07-01 00:04:55.055,,,5316666.666666668,,,933333.333333334,1275742.5293535807,203919.1579828047,-100409.33375619241
2025-07-01 00:05:00.055,,1950000.0,2250000.0,1133333.333333332,,,1275742.5195804634,203920.56838529542,-100409.25194882904
2025-07-01 00:05:05.055,327083.3333333349,4683333.333333334,2450000.0,7533333.333333332,,6200000.0,1275742.50980744,203921.97878619158,-100409.17014090379
2025-07-01 00:05:10.055,,1083333.3333333335,,22599999.999999996,,,1275742.5000347474,203923.3891571746,-100409.0883340839
2025-07-01 00:05:15.055,543749.9999999972,5616666.666666666,1583333.333333334,,8533333.333333336,,1275742.490261983,203924.7995544418,-100409.00652503048
2025-07-01 00:05:20.055,,1216666.666666667,,,,800000.0,1275742.4804895807,203926.20992223558,-100408.92471706553
2025-07-01 00:05:25.055,,2550000.0000000005,,,,6400000.0,1275742.4707173507,203927.62028847542,-100408.84290855378
2025-07-01 00:05:30.055,,,,3666666.666666664,,1000000.0,1275742.4609451464,203929.0306530076,-100408.76109947468
2025-07-01 00:05:35.055,1360416.666666668,4750000.0,,,5466666.666666668,,1275742.4511727665,203930.4410720841,-100408.67928657198
2025-07-01 00:05:40.055,231249.99999999907,,116666.66666666698,,16933333.333333332,,1275742.4414008183,203931.85143277602,-100408.59747633763
2025-07-01 00:05:45.055,,3816666.6666666665,,,,,1275742.4316291083,203933.26179086455,-100408.51566560293
2025-07-01 00:05:50.056,,4816666.666666666,,,,4933333.333333334,1275742.4218571999,203934.6721761737,-100408.43385263032
2025-07-01 00:05:55.056,,6350000.0,,,11733333.333333332,,1275742.4120858968,203936.0825037231,-100408.35204238171
2025-07-01 00:06:00.056,,4216666.666666666,250000.00000000093,,,6800000.0,1275742.402314326,203937.49288639368,-100408.27022827929
2025-07-01 00:06:05.056,1885416.666666668,8283333.333333334,,18866666.666666668,,1600000.0,1275742.3925426612,203938.9032958743,-100408.18841198302
2025-07-01 00:06:10.056,189583.3333333349,6283333.333333334,,,,6133333.333333334,1275742.3827714995,203940.31364734736,-100408.10659840051
2025-07-01 00:06:15.056,2231250.0000000037,3350000.0000000005,4850000.0,9400000.0,14000000.000000004,5400000.0,1275742.3730005263,203941.72399680765,-100408.02478429273
2025-07-01 00:06:20.056,7868749.999999998,8216666.666666668,14450000.000000002,45266666.66666666,36133333.33333333,18333333.333333332,1275742.363229696,203943.13434481315,-100407.94296959386
2025-07-01 00:06:25.056,24793750.0,13616666.666666668,37516666.66666667,102333333.33333333,155200000.0,72600000.0,1275742.3534587747,203944.5447194058,-100407.86115268525
2025-07-01 00:06:30.056,60681250.0,24950000.0,110850000.0,386466666.6666666,247733333.33333334,147266666.66666666,1275742.3436883097,203945.95503594537,-100407.77933850628
2025-07-01 00:06:35.056,105152083.33333334,67150000.0,247050000.0,625000000.0,539600000.0,145266666.66666666,1275742.333917591,203947.3654072834,-100407.69752047682
2025-07-01 00:06:40.056,124839583.3333333,74750000.0,440650000.0,858333333.3333334,435333333.3333334,140733333.33333334,1275742.3241468857,203948.77580514876,-100407.61570025748
2025-07-01 00:06:45.056,119260416.66666666,61883333.333333336,301516666.6666666,803000000.0,505600000.0,188733333.33333334,1275742.3143768373,203950.18611673763,-100407.53388441366
2025-07-01 00:06:50.056,81847916.6666667,22750000.0,153850000.0,433266666.6666666,442133333.3333334,207666666.66666666,1275742.3046065588,203951.59648313638,-100407.45206467144
2025-07-01 00:06:55.056,56718750.0,19816666.666666664,79583333.33333333,249933333.33333334,363466666.6666667,178133333.33333334,1275742.2948365242,203953.00681969395,-100407.3702460539
2025-07-01 00:07:00.056,27668749.999999993,1416666.666666667,20983333.333333336,78066666.66666666,265999999.99999997,81600000.0,1275742.2850666954,203954.4171546018,-100407.28842685343
2025-07-01 00:07:05.056,14502083.33333334,6283333.333333334,10583333.333333334,53133333.33333333,116000000.00000001,45333333.333333336,1275742.2752968261,203955.82751607406,-100407.20660547371
2025-07-01 00:07:10.056,10339583.333333336,9483333.333333334,20316666.666666664,39933333.33333333,83200000.0,17533333.333333332,1275742.2655270284,203957.23787590265,-100407.12478351832
2025-07-01 00:07:15.056,10472916.66666666,4416666.666666666,24116666.666666664,59933333.33333333,82800000.0,7200000.0,1275742.255757591,203958.6482058904,-100407.0429626478
2025-07-01 00:07:20.056,8427083.333333332,,8583333.333333334,45133333.33333333,65200000.0,28200000.0,1275742.2459882472,203960.05853423144,-100406.9611412274
2025-07-01 00:07:25.056,9297916.666666668,4416666.666666666,6850000.0,51000000.0,70800000.0,20000000.0,1275742.236218844,203961.46888913962,-100406.87931759522
2025-07-01 00:07:30.057,5435416.666666664,3016666.6666666665,10783333.333333334,44066666.66666667,38266666.66666667,3000000.0,1275742.2264496335,203962.8792424042,-100406.79749341425
2025-07-01 00:07:35.056,3193750.000000002,2816666.6666666665,2050000.0,,38666666.66666667,13533333.333333332,1275742.2166808175,203964.28953761753,-100406.7156718726
2025-07-01 00:07:40.057,1418750.0,4616666.666666666,783333.333333334,866666.6666666642,31066666.666666668,2866666.666666666,1275742.2069116933,203965.6999157981,-100406.63384496036
