Time,integrated_flux_mod,integrated_flux_s15_mod,integrated_flux_s16_mod,integrated_flux_s17_mod,integrated_flux_s18_mod,integrated_flux_s19_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-30 00:00:29.272,333333.3333333349,,4033333.333333334,,,,1275923.2525547342,179234.21681716279,-101742.98381580814
2025-06-30 00:00:34.272,,,,,,,1275923.2419347728,179235.65426003878,-101742.91173225548
2025-06-30 00:00:39.272,,1400000.0,500000.00000000093,,433333.3333333321,,1275923.2313144824,179237.0917589251,-101742.8396453383
2025-06-30 00:00:44.272,,,,1366666.666666666,,2300000.0,1275923.2206945112,179238.52919883147,-101742.76756070787
2025-06-30 00:00:49.272,2550000.0,,2433333.333333334,13366666.666666666,14700000.0,,1275923.2100744646,179239.96663726156,-101742.69547551568
2025-06-30 00:00:54.272,1366666.666666668,3399999.999999999,2500000.0,10300000.000000002,1633333.333333332,,1275923.1994542032,179241.40410299378,-101742.62338832428
2025-06-30 00:00:59.272,,,900000.0000000009,3900000.000000002,,,1275923.1888341475,179242.84153846544,-101742.55130198097
2025-06-30 00:01:04.272,1720833.333333335,,,18700000.0,6833333.333333332,,1275923.1782140322,179244.27897246563,-101742.47921511496
2025-06-30 00:01:09.272,654166.666666667,3066666.666666666,2166666.666666667,,19900000.0,,1275923.1675938678,179245.7164050082,-101742.40712763258
2025-06-30 00:01:14.272,2008333.3333333358,,5833333.333333334,6833333.333333334,11766666.666666664,6500000.000000002,1275923.1569732882,179247.1538935545,-101742.3350367567
2025-06-30 00:01:19.272,,5199999.999999999,900000.0000000009,300000.00000000186,,,1275923.1463530872,179248.59132311246,-101742.26294817764
2025-06-30 00:01:24.272,,,2633333.333333334,3900000.000000002,,,1275923.135732862,179250.0287512128,-101742.190859074
2025-06-30 00:01:29.272,1345833.333333333,1200000.0,1900000.000000001,2166666.666666666,2833333.333333332,,1275923.1251123762,179251.466206557,-101742.11876796663
2025-06-30 00:01:34.272,108333.33333333395,1400000.0,,21900000.0,,,1275923.11449227,179252.9036029833,-101742.04667913739
2025-06-30 00:01:39.272,879166.6666666688,,7233333.333333334,9633333.333333334,,,1275923.1038717832,179254.3410553417,-101741.97458692454
2025-06-30 00:01:44.272,1783333.333333333,,8700000.0,5233333.333333334,14833333.333333328,,1275923.0932511827,179255.7785062606,-101741.9024941196
2025-06-30 00:01:49.272,2270833.333333334,,500000.00000000093,22166666.66666667,13500000.0,7500000.000000002,1275923.082630811,179257.21592674588,-101741.8304021997
2025-06-30 00:01:54.272,1133333.333333335,,33333.333333333954,16166666.666666666,4566666.666666664,100000.0,1275923.0720102426,179258.6533748662,-101741.75830827578
2025-06-30 00:01:59.273,1770833.333333333,,5500000.0,6166666.666666666,20433333.33333333,,1275923.061389762,179260.09079273863,-101741.68621524592
2025-06-30 00:02:04.273,1420833.333333333,66666.66666666605,2633333.333333334,3900000.000000002,8966666.666666664,1700000.0,1275923.0507690897,179261.52823763082,-101741.61412020668
2025-06-30 00:02:09.273,9137499.999999996,,27700000.0,50566666.666666664,38566666.666666664,9833333.333333334,1275923.0401488089,179262.9656232402,-101741.54202750168
2025-06-30 00:02:14.273,26383333.33333333,15800000.0,44500000.0,157100000.0,138033333.3333333,22700000.0,1275923.029527847,179264.4030933201,-101741.46992986399
2025-06-30 00:02:19.273,58341666.66666667,24600000.0,65566666.666666664,360166666.6666666,330566666.6666667,92566666.66666666,1275923.0189070473,179265.8405324515,-101741.39783315052
2025-06-30 00:02:24.273,38479166.666666664,32266666.666666668,50833333.333333336,262300000.00000003,204966666.66666666,36700000.0,1275923.0082866168,179267.27791358414,-101741.32573873608
2025-06-30 00:02:29.273,16491666.66666666,1933333.333333333,11566666.666666666,130833333.33333333,86966666.66666666,17766666.666666664,1275922.9976658258,179268.71535098917,-101741.25364093325
2025-06-30 00:02:34.273,7150000.0,,8966666.666666668,29633333.333333336,60833333.333333336,12833333.333333334,1275922.9870451784,179270.15275847056,-101741.18154394435
2025-06-30 00:02:39.273,5037500.0,,3033333.333333334,44433333.333333336,24966666.666666664,2233333.333333334,1275922.976424516,179271.59016455355,-101741.10944643104
2025-06-30 00:02:44.273,3425000.0,4599999.999999999,2100000.000000001,15500000.000000002,32566666.666666664,,1275922.965803359,179273.02762660343,-101741.03734547511
2025-06-30 00:02:49.273,6204166.666666666,,2233333.333333334,35900000.0,60033333.333333336,2766666.666666668,1275922.9551826203,179274.46502928247,-101740.96524681745
2025-06-30 00:02:54.273,12279166.666666668,,5633333.333333334,56033333.333333336,116833333.33333331,21033333.333333336,1275922.9445618398,179275.90243076626,-101740.8931476117
2025-06-30 00:02:59.273,14708333.333333336,3266666.666666666,12366666.666666666,89900000.0,127900000.0,11300000.000000002,1275922.9339410171,179277.3398307914,-101740.82104784925
2025-06-30 00:03:04.273,8041666.666666664,,8633333.333333334,54566666.666666664,65366666.666666664,,1275922.923319945,179278.77725809807,-101740.74894608982
2025-06-30 00:03:09.273,4216666.666666666,,4033333.333333334,13366666.666666666,38166666.666666664,19700000.0,1275922.9126992922,179280.21462640626,-101740.67684667092
2025-06-30 00:03:14.273,2529166.666666666,,9966666.666666668,18300000.0,3233333.333333332,2366666.666666668,1275922.9020782206,179281.6520507536,-101740.60474381282
2025-06-30 00:03:19.273,495833.333333333,,4833333.333333334,4833333.333333334,11633333.333333328,433333.33333333395,1275922.8914568308,179283.08950235095,-101740.53263888095
2025-06-30 00:03:24.273,,,,166666.66666666605,1633333.333333332,,1275922.880835846,179284.52689499693,-101740.46053633798
2025-06-30 00:03:29.273,837500.0000000019,,,19233333.333333336,7233333.333333332,,1275922.8702148926,179285.96428615123,-101740.38843320729
2025-06-30 00:03:34.273,1658333.333333334,,,25366666.66666667,3766666.666666664,,1275922.8595938243,179287.4016758346,-101740.31632953038
2025-06-30 00:03:39.273,,66666.66666666605,,7233333.333333334,,3366666.666666668,1275922.8489725841,179288.83909277755,-101740.24422382523
2025-06-30 00:03:44.273,337499.99999999814,,,8300000.000000002,,,1275922.8383515433,179290.27647950134,-101740.1721190617
2025-06-30 00:03:49.273,1624999.9999999981,,,11233333.333333334,8833333.333333328,,1275922.827730415,179291.7138647506,-101740.10001369042
