Time,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,proton_xvelocity,proton_yvelocity,proton_zvelocity,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-02 00:00:25.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,8.70349643275381,-5.740728236130032,1275600.963395247,227964.0485487923,-98916.80347312224
2025-07-02 00:00:30.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.90281481442997,-5.191959924180388,1275600.957178348,227965.4294599011,-98916.71199178242
2025-07-02 00:00:35.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.346910810674931,-12.018241553188908,1275600.9509615123,227966.81042444397,-98916.62050622638
2025-07-02 00:00:40.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.9539515616862,-13.782070260638577,1275600.9447452156,227968.19133198593,-98916.52902377112
2025-07-02 00:00:45.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.652875811851349,-4.075504022159279,1275600.938529136,227969.5722377667,-98916.43754073279
2025-07-02 00:00:50.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,8.242159128700884,-9.23656576706938,1275600.9323132937,227970.95316939446,-98916.34605535347
2025-07-02 00:00:55.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,9.901497324111514,-18.638395310455483,1275600.9260979341,227972.33404399507,-98916.25457301718
2025-07-02 00:01:00.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,6.484746270771517,-4.778504346089271,1275600.9198826195,227973.71497208808,-98916.16308647994
2025-07-02 00:01:05.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.8794340202911712,-15.219083672106343,1275600.9136675657,227975.0958983859,-98916.07159939717
2025-07-02 00:01:10.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.971088045993525,-22.45330860035202,1275600.9074530452,227976.47679524779,-98915.98011359724
2025-07-02 00:01:15.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.185807684473204,-12.15737485312087,1275600.9012385611,227977.8577177085,-98915.88862536487
2025-07-02 00:01:20.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.439591176500809,-11.409290764104895,1275600.8950244947,227979.23861115833,-98915.79713839898
2025-07-02 00:01:25.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,6.578724027456428,-10.190108812538654,1275600.8888107091,227980.6195028927,-98915.70565087377
2025-07-02 00:01:30.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,10.647649901798548,-7.482141189965837,1275600.8825971745,227982.00039277686,-98915.61416280293
2025-07-02 00:01:35.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.425442916187805,-7.8177858010137555,1275600.8763837558,227983.38133581023,-98915.52267051046
2025-07-02 00:01:40.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.947436750045998,-6.464413343103928,1275600.8701707216,227984.76224910468,-98915.43117949279
2025-07-02 00:01:45.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1.1749930712960186,-5.460471744208341,1275600.8639582272,227986.14310457837,-98915.33969156176
2025-07-02 00:01:50.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.4069273889955625,-8.81304363226021,1275600.85774573,227987.52401411347,-98915.24819942378
2025-07-02 00:01:55.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.293255181660555,-12.707414436980415,1275600.8515336702,227988.90489462443,-98915.15670852485
2025-07-02 00:02:00.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.390713661365638,-2.3517331126801864,1275600.845321901,227990.28577367958,-98915.06521707529
2025-07-02 00:02:05.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,6.901502421644135,-7.794707570932765,1275600.8391101374,227991.66670639708,-98914.97372143553
2025-07-02 00:02:10.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.406436143314348,-7.806615694209306,1275600.8328989204,227993.0475821474,-98914.88222886244
2025-07-02 00:02:15.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.443492196452102,-6.695851807014691,1275600.8266879772,227994.42845574114,-98914.79073571949
2025-07-02 00:02:20.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,9.245405785478376,-10.140615776184063,1275600.820477339,227995.80932777407,-98914.69924202375
2025-07-02 00:02:25.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.153632227248572,-6.645106445222737,1275600.8142668207,227997.19022566354,-98914.60774596053
2025-07-02 00:02:30.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.1248544536781075,-8.71151655513465,1275600.8080568153,227998.57109414705,-98914.51625116135
2025-07-02 00:02:35.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.304847698414132,-4.1207003026311355,1275600.801846916,227999.95196088907,-98914.42475573876
2025-07-02 00:02:40.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,2.3494488178771533,-16.036617130712678,1275600.795637148,228001.33288108645,-98914.33325613732
2025-07-02 00:02:45.833,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,8.606856223593969,-19.350716665981263,1275600.7894281414,228002.71371658717,-98914.2417615198
